Date,Open,High,Low,Close,Volume
2026-03-16 21:15:15.938884,447.4439544258537,449.3569941227065,446.145295530137,447.4439544258537,188437
2026-03-17 21:15:15.938884,459.9008664636711,463.4709711420887,457.58555729278567,459.9008664636711,158265
2026-03-18 21:15:15.938884,468.28005042853704,471.55931534501417,466.38837148982276,468.28005042853704,165886
2026-03-19 21:15:15.938884,475.4445935477661,479.16669176815714,473.18863257201826,475.4445935477661,136159
2026-03-20 21:15:15.938884,491.45814739004834,493.5218640539435,487.46988796152857,491.45814739004834,100252
2026-03-21 21:15:15.938884,496.9002555232345,499.44269330786057,493.9768266985691,496.9002555232345,168744
2026-03-22 21:15:15.938884,511.0193633816272,513.1971035183553,507.32598086586825,511.0193633816272,179133
2026-03-23 21:15:15.938884,520.7963663177172,525.7591608464501,518.6156103209711,520.7963663177172,141016
2026-03-24 21:15:15.938884,526.6607446418989,527.2347559120776,522.1808821763079,526.6607446418989,141358
2026-03-25 21:15:15.938884,536.2216793626284,536.798319178497,532.6475029724224,536.2216793626284,104306
2026-03-26 21:15:15.938884,446.69418684212775,449.1825515841994,445.27598846094185,446.69418684212775,144351
2026-03-27 21:15:15.938884,455.14054090108954,457.4293411995125,451.96915430810196,455.14054090108954,179323
2026-03-28 21:15:15.938884,472.4901029592724,476.28193672928853,468.845814775341,472.4901029592724,119553
2026-03-29 21:15:15.938884,483.2215965849875,487.4481031902729,478.3368978236678,483.2215965849875,145164
2026-03-30 21:15:15.938884,493.12123760596575,496.9769410953519,489.4593051847181,493.12123760596575,161326
2026-03-31 21:15:15.938884,501.3985313540331,506.13422501045693,497.36827151081957,501.3985313540331,143985
2026-04-01 21:15:15.938884,511.63212750199295,511.6918591356158,509.75408172721905,511.63212750199295,181183
2026-04-02 21:15:15.938884,517.1414808441849,518.9289678138571,516.7977080765841,517.1414808441849,182487
2026-04-03 21:15:15.938884,532.6163583167987,533.9625708014543,532.5074952173342,532.6163583167987,154012
2026-04-04 21:15:15.938884,540.4007773693882,544.9204261116901,537.9262795626016,540.4007773693882,184534
2026-04-05 21:15:15.938884,447.55361316001824,448.9166759259525,447.3579683791886,447.55361316001824,127541
2026-04-06 21:15:15.938884,460.33084530200006,461.98517491005924,456.9205076264212,460.33084530200006,121681
2026-04-07 21:15:15.938884,465.4530572744559,465.9808104612984,463.2468998167482,465.4530572744559,167915
2026-04-08 21:15:15.938884,481.32817827852926,483.11076168175623,478.2087260156378,481.32817827852926,116263
2026-04-09 21:15:15.938884,491.96853987171073,492.8297946936283,491.15595133857164,491.96853987171073,102432
2026-04-10 21:15:15.938884,495.4571029838427,497.61817925846907,492.2073541421797,495.4571029838427,105017
2026-04-11 21:15:15.938884,508.4892643770481,508.65585228354627,504.11008600616236,508.4892643770481,169982
2026-04-12 21:15:15.938884,521.5287007549617,521.7192145463224,518.337294332379,521.5287007549617,159565
2026-04-13 21:15:15.938884,534.5112526144745,536.0681827840991,530.4853930381196,534.5112526144745,148096
2026-04-14 21:15:15.938884,544.1247021851229,548.1148187168144,539.860599596249,544.1247021851229,175549
2026-04-15 21:15:15.938884,451.91651094232344,454.6776627728183,449.55912700295437,451.91651094232344,158339
2026-04-16 21:15:15.938884,463.5947964179463,466.9449823335619,462.07345487422924,463.5947964179463,104115
2026-04-17 21:15:15.938884,467.6997953609685,471.18639938240426,466.16854583140184,467.6997953609685,196569
2026-04-18 21:15:15.938884,483.07031149444293,486.8945993313091,482.60812117055264,483.07031149444293,187863
2026-04-19 21:15:15.938884,492.28874036208344,496.6704879207712,487.91556581478136,492.28874036208344,123374
2026-04-20 21:15:15.938884,496.10012212862233,499.0736289973866,491.75675070181654,496.10012212862233,105456
2026-04-21 21:15:15.938884,506.9390675350966,510.1288776166715,505.93048625031935,506.9390675350966,121478
2026-04-22 21:15:15.938884,522.8909132713769,523.7410275177556,518.5885600750388,522.8909132713769,104468
2026-04-23 21:15:15.938884,525.9493044712447,529.1028360732098,525.1158828748879,525.9493044712447,151590
2026-04-24 21:15:15.938884,539.1959591505831,542.6603875287989,538.1063386609004,539.1959591505831,143261
2026-04-25 21:15:15.938884,451.78489434006144,455.510716276699,448.5755645288216,451.78489434006144,135223
2026-04-26 21:15:15.938884,456.09050500305136,457.4625698725091,451.4996110328949,456.09050500305136,164276
